date,new_confirmed,new_deceased,new_tested,cumulative_confirmed,cumulative_deceased,cumulative_tested,new_hospitalized_patients,cumulative_hospitalized_patients,current_hospitalized_patients,current_ventilator_patients,new_persons_vaccinated,cumulative_persons_vaccinated,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_transit_stations,mobility_workplaces,mobility_residential,stringency_index,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity
3/31/2020,4463,662,11896,38025,4434,155174,2834,23549,12597,,,,,,-74,-30,-21,-72,-70,27,79.63,5.422222,2.172222,7.827778,0.127,1.905556,78.282
4/1/2020,4891,769,11947,42916,5203,167237,3565,27114,13637,,,,,,-75,-32,-29,-73,-69,28,79.63,6.166667,3.294444,8.777778,0,1.911111,74.710765
4/2/2020,4824,805,13623,47740,6008,182352,3284,30398,13875,1813,,,,,-75,-32,-24,-73,-70,29,79.63,7.116667,2.644444,10.455556,0.1905,2.133333,71.40378
4/3/2020,4853,840,14629,52593,6848,223578,2932,33330,15546,2120,,,,,-76,-30,-25,-72,-69,29,79.63,5.266667,1.672222,8.377778,0.169333,1.211111,75.85694
4/4/2020,3976,906,16080,56569,7754,239658,2922,36252,17501,2309,,,,,-81,-36,-38,-72,-57,19,79.63,7.617284,3.888889,10.259259,0.762,3.851852,77.565791
4/5/2020,3556,917,13238,60125,8671,252896,2913,39165,18854,2469,,,,,-82,-41,-29,-70,-54,15,79.63,11.438272,3.438272,17.074074,0,3.191358,57.053666
4/6/2020,5273,895,13775,65398,9566,267303,3047,42212,19492,2644,,,,,-73,-31,-20,-72,-70,27,79.63,10.055556,4.9,13.105556,1.36525,4.011111,66.948495
4/7/2020,5477,998,14423,70875,10564,281726,3150,45362,20233,2864,,,,,-73,-29,-7,-69,-70,27,79.63,8.744444,1.188889,15.277778,0,2.627778,66.032842
4/8/2020,5146,1077,16443,76021,11641,298169,2966,48328,20739,2967,,,,,-73,-27,-14,-70,-70,27,79.63,10.272222,2.166667,16.45,0,4.05,65.659246
4/9/2020,4875,1002,19116,80896,12643,316836,2631,50959,21004,2963,,,,,-71,-20,-13,-70,-70,27,79.63,7.9,4.872222,11.227778,0.028222,5.844444,87.009748
4/10/2020,4327,944,18091,85223,13587,334974,2460,53419,21279,3228,,,,,-78,-33,-18,-75,-80,32,79.63,12.104938,5.882716,18.32716,0,7.62963,74.233376
4/11/2020,3585,956,18000,88808,14543,352974,2162,55581,21253,3274,,,,,-81,-32,-37,-70,-57,19,79.63,12.753086,7.006173,17.228395,0.254,7.944444,72.808295
4/12/2020,3507,957,14506,92315,15500,367667,2065,57646,21685,3301,,,,,-89,-63,-33,-71,-58,16,79.63,8.111111,3.141975,12.364198,0,4.796296,79.87118
4/13/2020,4203,896,14982,96518,16396,382650,2162,59808,21306,3277,,,,,-78,-41,-21,-78,-83,31,79.63,3.911111,-0.555556,6.344444,0,-2.833333,61.861332
4/14/2020,4335,859,15994,100853,17255,398916,2088,61896,21279,3234,,,,,-71,-26,-10,-69,-70,27,79.63,4.977778,-3.305556,11.866667,0,-0.794444,66.771593
4/15/2020,5070,878,18665,105923,18133,417649,1880,63776,20581,3228,,,,,-72,-27,-6,-69,-69,27,79.63,9.544444,1.138889,16.855556,0,2.838889,63.99601
4/16/2020,5292,843,21328,111215,18976,438991,2011,65787,20388,3222,,,,,-73,-27,-7,-70,-69,28,79.63,8.466667,3.45,12.977778,0,4.238889,75.088382
4/17/2020,4977,819,21389,116192,19795,460437,1966,67753,19329,3162,,,,,-75,-30,-33,-71,-68,29,79.63,6.944444,3.805556,9.972222,0,2.772222,75.099986
4/18/2020,4744,800,21626,120936,20595,482063,1630,69383,19455,3247,,,,,-81,-37,-47,-71,-54,19,79.63,5.981481,2.141975,10.395062,0,1.290123,72.142285
4/19/2020,3881,770,19316,124817,21365,501379,1657,71040,19573,3176,,,,,-80,-40,-12,-66,-49,14,79.63,6.975309,1.154321,12.67284,0,1.358025,67.690595
4/20/2020,4441,783,17970,129258,22148,537121,1736,72776,19330,3130,,,,,-71,-30,-2,-68,-67,25,79.63,7.488889,2.322222,11.727778,0,1.366667,65.549103
4/21/2020,4795,745,22814,134053,22893,559935,1712,74488,19138,3036,,,,,-72,-28,2,-67,-67,26,79.63,8.65,3.727778,13.372222,0,3.127778,68.833998
4/22/2020,5517,731,23560,139570,23624,583496,1530,76018,18532,2964,,,,,-72,-28,1,-67,-66,27,79.63,9.516667,4.255556,15.255556,0,4.327778,70.504974
