date,new_confirmed,new_deceased,new_tested,cumulative_confirmed,cumulative_deceased,cumulative_tested,new_hospitalized_patients,cumulative_hospitalized_patients,current_hospitalized_patients,current_ventilator_patients,new_persons_vaccinated,cumulative_persons_vaccinated,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_transit_stations,mobility_workplaces,mobility_residential,stringency_index,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity
1/11/2021,58592,1132,543719,3280627,86933,61176472,4310,331827,36753,3363,145076,2431648,20768,412167,-59,-25,-16,-63,-50,20,87.96,6.377778,3.361111,8.433333,0.870857,4.383333,87.407954
1/12/2021,50647,1213,590404,3331274,88146,61797627,4580,336407,36983,3496,207661,2639309,16065,428232,-61,-24,-7,-63,-51,20,87.96,0.122222,-3.033333,4.405556,3.175,-1.8,87.156365
1/13/2021,46509,1219,629223,3377783,89365,62445325,4225,340632,37489,3626,278943,2918252,9745,437977,-64,-27,-30,-65,-50,21,87.96,-0.111111,-3.561111,1.827778,0,-1.016667,93.683546
1/14/2021,43473,1233,696927,3421256,90598,63151470,4100,344732,37693,3672,316694,3234946,5257,443234,-66,-29,-28,-66,-53,22,87.96,0.311111,-1.038889,1.316667,9.779,-0.133333,96.879545
1/15/2021,41451,1229,599603,3462707,91827,63760165,3684,348416,38134,3789,341317,3576263,4208,447442,-64,-23,-15,-64,-51,21,87.96,-2.311111,-5.483333,0.061111,4.572,-3.083333,94.502406
1/16/2021,31249,1311,492549,3493956,93138,64262678,3944,352360,37716,3854,296131,3872394,2620,450062,-70,-26,-31,-67,-35,15,87.96,2.716049,-1.814815,5.87037,14.181667,1.419753,91.262423
1/17/2021,29592,1272,417972,3523548,94410,64688019,3751,356111,38170,3871,190107,4062501,2239,452301,-67,-27,8,-63,-31,11,87.96,3.530864,1.234568,5.037037,4.753429,1.592593,87.47354
1/18/2021,45958,1301,566981,3569506,95711,65281812,4061,360172,39254,3916,204076,4266577,4565,456866,-60,-25,-10,-63,-51,19,87.96,4.494444,3.1,5.544444,0.435429,2.627778,87.935016
1/19/2021,40526,1370,585790,3610032,97081,65896473,4160,364332,38845,3947,343163,4609740,3759,460625,-63,-27,-23,-64,-52,20,87.96,6.033333,3.655556,7.655556,1.566333,5.876543,96.681456
1/20/2021,35986,1302,645198,3646018,98383,66567122,4051,368383,38738,3953,363508,4973248,3411,464036,-65,-28,-35,-66,-51,21,87.96,5.622222,0.783333,7.933333,17.864667,5.083333,96.396888
1/21/2021,32502,1240,665124,3678520,99623,67248276,3637,372020,38058,3960,409855,5383103,2760,466796,-62,-23,-6,-64,-51,20,87.96,2.227778,0.244444,4.3,14.478,0.044444,85.857035
1/22/2021,30330,1247,633418,3708850,100870,67900379,3394,375414,38256,4076,478248,5861351,1821,468617,-62,-20,-3,-63,-49,21,87.96,1.75,-1.066667,3.944444,2.935111,-0.822222,83.56024
1/23/2021,22345,1176,481000,3731195,102046,68388346,3118,378532,37397,4066,491970,6353321,1043,469660,-67,-22,-12,-64,-33,14,87.96,-2.018519,-4.37037,1.185185,0.0635,-2.993827,93.156938
1/24/2021,17554,1159,412802,3748749,103205,68807648,3113,381645,37729,4077,220249,6573570,818,470478,-71,-31,-4,-66,-34,12,87.96,-2.802469,-5.777778,0.802469,0.056444,-3.938272,92.01649
1/25/2021,30737,1171,554417,3779486,104376,69380834,2932,384577,37755,4032,279757,6853327,1968,472446,-59,-23,-1,-62,-52,19,87.96,0.472222,-4.588889,3.972222,0.028222,-1.694444,85.794529
1/26/2021,27730,1068,646599,3807216,105444,70058559,3150,387727,37101,3961,311060,7164387,1710,474156,-62,-25,-27,-64,-51,20,87.96,0.638889,-2.083333,2.366667,1.608667,-0.183333,94.31489
1/27/2021,26303,1117,816338,3833519,106561,70891750,3058,390785,35513,3937,312378,7476765,2329,476485,-60,-21,-13,-63,-50,20,87.96,3.627778,0.438889,6.655556,0.592667,3.016667,95.871433
1/28/2021,24773,1112,777591,3858292,107673,71694842,3044,393829,34909,3918,414419,7891184,1769,478254,-61,-21,-12,-63,-50,20,87.96,2.661111,0.944444,4.766667,6.561667,2.238889,97.08814
1/29/2021,22433,1071,676840,3880725,108744,72390592,2687,396516,33848,3832,487756,8378940,2178,480432,-60,-16,-11,-61,-49,20,87.96,4.277778,0.811111,6.494444,10.414,3.283333,93.353288
1/30/2021,17167,913,449009,3897892,109657,72848366,2469,398985,33016,3806,598389,8977329,10621,491053,-67,-22,-37,-67,-33,15,87.96,0.733333,-1.794444,2.683333,0.508,-1.738889,83.926706
